date,value
2020-01-27/2020-02-02,57.0
2020-02-24/2020-03-01,57.0
2020-03-30/2020-04-05,59.0
2020-04-27/2020-05-03,58.0
2020-06-01/2020-06-07,62.0
2020-06-29/2020-07-05,63.0
2020-07-27/2020-08-02,60.0
2020-08-31/2020-09-06,61.0
2020-09-28/2020-10-04,57.0
2020-10-26/2020-11-01,47.0
2020-11-30/2020-12-06,46.0
2020-12-28/2021-01-03,50.0
2021-02-01/2021-02-07,57.0
2021-03-01/2021-03-07,55.0
2021-03-29/2021-04-04,59.0
2021-04-26/2021-05-02,58.0
2021-05-31/2021-06-06,67.0
2021-06-28/2021-07-04,62.0
2021-07-26/2021-08-01,66.0
2021-08-30/2021-09-05,67.0
2021-09-27/2021-10-03,66.0
2021-11-01/2021-11-07,60.0
2021-11-29/2021-12-05,56.0
2021-12-27/2022-01-02,71.0
2022-01-31/2022-02-06,82.0
2022-02-28/2022-03-06,88.0
2022-03-28/2022-04-03,86.0
2022-04-25/2022-05-01,75.0
2022-05-30/2022-06-05,81.0
2022-06-27/2022-07-03,76.0
2022-08-01/2022-08-07,84.0
2022-08-29/2022-09-04,77.0
2022-09-26/2022-10-02,73.0
2022-10-31/2022-11-06,70.0
2022-11-28/2022-12-04,69.0
2022-12-26/2023-01-01,81.0
2023-01-30/2023-02-05,82.0
2023-02-27/2023-03-05,84.0
2023-03-27/2023-04-02,80.0
2023-05-01/2023-05-07,83.0
2023-05-29/2023-06-04,84.0
2023-06-26/2023-07-02,75.0
2023-07-31/2023-08-06,82.0
2023-08-28/2023-09-03,95.0
2023-09-25/2023-10-01,81.0
2023-10-30/2023-11-05,76.0
2023-11-27/2023-12-03,65.0
2024-01-01/2024-01-07,82.0
2024-01-29/2024-02-04,88.0
2024-02-26/2024-03-03,82.0
2024-04-01/2024-04-07,84.0
2024-04-29/2024-05-05,81.0
2024-05-27/2024-06-02,82.0
2024-07-01/2024-07-07,83.0
2024-07-29/2024-08-04,82.0
2024-08-26/2024-09-01,79.0
2024-09-30/2024-10-06,77.0
2024-10-28/2024-11-03,69.0
2024-11-25/2024-12-01,64.0
2024-12-30/2025-01-05,76.0
2025-01-27/2025-02-02,87.0
2025-02-24/2025-03-02,83.0
2025-03-31/2025-04-06,92.0
2025-04-28/2025-05-04,87.0
2025-05-26/2025-06-01,95.0
2025-06-30/2025-07-06,100.0
2025-07-28/2025-08-03,85.0
2025-09-01/2025-09-07,85.0
2025-09-29/2025-10-05,96.0
2025-10-27/2025-11-02,94.0
