date,value
2020-01-27/2020-02-02,91.0
2020-02-24/2020-03-01,94.0
2020-03-30/2020-04-05,100.0
2020-04-27/2020-05-03,95.0
2020-06-01/2020-06-07,98.0
2020-06-29/2020-07-05,100.0
2020-07-27/2020-08-02,93.0
2020-08-31/2020-09-06,92.0
2020-09-28/2020-10-04,89.0
2020-10-26/2020-11-01,88.0
2020-11-30/2020-12-06,90.0
2020-12-28/2021-01-03,82.0
2021-02-01/2021-02-07,86.0
2021-03-01/2021-03-07,78.0
2021-03-29/2021-04-04,80.0
2021-04-26/2021-05-02,85.0
2021-05-31/2021-06-06,80.0
2021-06-28/2021-07-04,85.0
2021-07-26/2021-08-01,79.0
2021-08-30/2021-09-05,81.0
2021-09-27/2021-10-03,93.0
2021-11-01/2021-11-07,82.0
2021-11-29/2021-12-05,82.0
2021-12-27/2022-01-02,83.0
2022-01-31/2022-02-06,86.0
2022-02-28/2022-03-06,83.0
2022-03-28/2022-04-03,82.0
2022-04-25/2022-05-01,82.0
2022-05-30/2022-06-05,83.0
2022-06-27/2022-07-03,81.0
2022-08-01/2022-08-07,85.0
2022-08-29/2022-09-04,71.0
2022-09-26/2022-10-02,78.0
2022-10-31/2022-11-06,71.0
2022-11-28/2022-12-04,77.0
2022-12-26/2023-01-01,72.0
2023-01-30/2023-02-05,78.0
2023-02-27/2023-03-05,73.0
2023-03-27/2023-04-02,73.0
2023-05-01/2023-05-07,76.0
2023-05-29/2023-06-04,75.0
2023-06-26/2023-07-02,79.0
2023-07-31/2023-08-06,72.0
2023-08-28/2023-09-03,70.0
2023-09-25/2023-10-01,70.0
2023-10-30/2023-11-05,70.0
2023-11-27/2023-12-03,71.0
2024-01-01/2024-01-07,67.0
2024-01-29/2024-02-04,65.0
2024-02-26/2024-03-03,68.0
2024-04-01/2024-04-07,64.0
2024-04-29/2024-05-05,66.0
2024-05-27/2024-06-02,66.0
2024-07-01/2024-07-07,66.0
2024-07-29/2024-08-04,68.0
2024-08-26/2024-09-01,64.0
2024-09-30/2024-10-06,67.0
2024-10-28/2024-11-03,64.0
2024-11-25/2024-12-01,66.0
2024-12-30/2025-01-05,66.0
2025-01-27/2025-02-02,65.0
2025-02-24/2025-03-02,64.0
2025-03-31/2025-04-06,66.0
2025-04-28/2025-05-04,67.0
2025-05-26/2025-06-01,68.0
2025-06-30/2025-07-06,88.0
2025-07-28/2025-08-03,73.0
2025-09-01/2025-09-07,67.0
2025-09-29/2025-10-05,67.0
2025-10-27/2025-11-02,73.0
