signal_time,fill_time,prev_close,signal_close,points_down_24h,fill_close_raw,buy_shares,buy_value_usd,buy_fee_usd,sell_shares,sell_value_usd,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2025-01-03,2025-01-06,418.5799865722656,423.3500061035156,0.0,427.8500061035156,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-06,2025-01-07,423.3500061035156,427.8500061035156,0.0,422.3699951171875,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-07,2025-01-08,427.8500061035156,422.3699951171875,5.0,424.55999755859375,0.011771012997251596,5.0,0.005,0.0,0.0,0.0,False,9994.995,0.011771012997251596,9999.966722702175
2025-01-08,2025-01-10,422.3699951171875,424.55999755859375,0.0,418.95001220703125,0.0,0.0,0.0,0.0,0.0,0.0,False,9994.995,0.011771012997251596,9999.992501249377
2025-01-10,2025-01-13,424.55999755859375,418.95001220703125,5.0,417.19000244140625,0.011978957357870064,5.0,0.005,0.0,0.0,0.0,False,9989.990000000002,0.02374997035512166,9999.940050370196
2025-01-13,2025-01-14,418.95001220703125,417.19000244140625,1.0,415.6700134277344,0.002404552211098646,1.0,0.001,0.0,0.0,0.0,False,9988.989000000001,0.026154522566220306,9999.900405333257
2025-01-14,2025-01-15,417.19000244140625,415.6700134277344,1.0,426.30999755859375,0.002344538611806042,1.0,0.001,0.0,0.0,0.0,False,9987.988000000001,0.02849906117802635,9999.83420514255
2025-01-15,2025-01-16,415.6700134277344,426.30999755859375,0.0,424.5799865722656,0.0,0.0,0.0,0.014138682205004579,6.0,0.006,False,9993.982000000002,0.01436037897302177,10000.103973124931
2025-01-16,2025-01-17,426.30999755859375,424.5799865722656,1.0,429.0299987792969,0.00232967450462416,1.0,0.001,0.0,0.0,0.0,False,9992.981000000002,0.01669005347764593,10000.06726268143
2025-01-17,2025-01-21,424.5799865722656,429.0299987792969,0.0,428.5,0.0,0.0,0.0,0.009339558927655194,4.0,0.004,False,9996.977,0.007350494549990736,10000.13058266781
2025-01-21,2025-01-22,429.0299987792969,428.5,0.0,446.20001220703125,0.0,0.0,0.0,0.004484537080921651,1.9999999999999998,0.0019999999999999996,False,9998.975,0.0028659574690690854,10000.203062775496
2025-01-22,2025-01-23,428.5,446.20001220703125,0.0,446.7099914550781,0.0,0.0,0.0,0.0022397086907908893,0.9999999999999999,0.0009999999999999998,False,9999.974,0.000626248778278196,10000.253432212512
2025-01-23,2025-01-24,446.20001220703125,446.7099914550781,0.0,444.05999755859375,0.0,0.0,0.0,0.0,0.0,0.0,False,9999.974,0.000626248778278196,10000.253751586393
2025-01-24,2025-01-27,446.7099914550781,444.05999755859375,2.0,434.55999755859375,0.0046000564041346,2.0,0.002,0.0,0.0,0.0,False,9997.972,0.0052263051824127955,10000.292793066543
2025-01-27,2025-01-28,444.05999755859375,434.55999755859375,9.0,447.20001220703125,0.020115165481505163,9.0,0.009000000000000001,0.0,0.0,0.0,False,9988.963,0.02534147066391796,9999.975389429843
2025-01-28,2025-01-29,434.55999755859375,447.20001220703125,0.0,442.3299865722656,0.0,0.0,0.0,0.004523773112821081,2.0,0.002,False,9990.961,0.02081769755109688,10000.270674598973
2025-01-29,2025-01-30,447.20001220703125,442.3299865722656,4.0,414.989990234375,0.009633969718744995,4.0,0.004,0.0,0.0,0.0,False,9986.956999999999,0.030451667269841873,10000.42668557457
2025-01-30,2025-01-31,442.3299865722656,414.989990234375,27.0,415.05999755859375,0.06501832724271873,27.0,0.027,0.0,0.0,0.0,False,9959.929999999998,0.09546999451256061,9999.549092090441
2025-01-31,2025-02-03,414.989990234375,415.05999755859375,0.0,410.9200134277344,0.0,0.0,0.0,0.0,0.0,0.0,False,9959.929999999998,0.09546999451256061,9999.555775689301
2025-02-03,2025-02-04,415.05999755859375,410.9200134277344,4.0,412.3699951171875,0.009695179200329782,4.0,0.004,0.0,0.0,0.0,False,9955.925999999998,0.10516517371289039,9999.140474594229
2025-02-04,2025-02-05,410.9200134277344,412.3699951171875,0.0,413.2900085449219,0.0,0.0,0.0,0.0,0.0,0.0,False,9955.925999999998,0.10516517371289039,9999.29296217048
2025-02-05,2025-02-06,412.3699951171875,413.2900085449219,0.0,415.82000732421875,0.0,0.0,0.0,0.0,0.0,0.0,False,9955.925999999998,0.10516517371289039,9999.389715542426
2025-02-06,2025-02-07,413.2900085449219,415.82000732421875,0.0,409.75,0.0,0.0,0.0,0.004883466748627516,2.0,0.002,False,9957.923999999997,0.10028170696426288,9999.623140124362
2025-02-07,2025-02-10,415.82000732421875,409.75,6.0,412.2200012207031,0.014548060456774325,6.0,0.006,0.0,0.0,0.0,False,9951.917999999998,0.1148297674210372,9998.969497200767
2025-02-10,2025-02-11,409.75,412.2200012207031,0.0,411.44000244140625,0.0,0.0,0.0,0.0,0.0,0.0,False,9951.917999999998,0.1148297674210372,9999.253126866472
2025-02-11,2025-02-12,412.2200012207031,411.44000244140625,0.0,409.0400085449219,0.0,0.0,0.0,0.0,0.0,0.0,False,9951.917999999998,0.1148297674210372,9999.163559788056
2025-02-12,2025-02-13,411.44000244140625,409.0400085449219,2.0,410.5400085449219,0.004869197783756054,2.0,0.002,0.0,0.0,0.0,False,9949.915999999997,0.11969896520479326,9998.877665750184
2025-02-13,2025-02-14,409.0400085449219,410.5400085449219,0.0,408.42999267578125,0.0,0.0,0.0,0.0,0.0,0.0,False,9949.915999999997,0.11969896520479326,9999.057214197992
2025-02-14,2025-02-18,410.5400085449219,408.42999267578125,2.0,409.6400146484375,0.004879895587020993,2.0,0.002,0.0,0.0,0.0,False,9947.913999999997,0.12457886079181425,9998.795743200755
2025-02-18,2025-02-19,408.42999267578125,409.6400146484375,0.0,414.7699890136719,0.0,0.0,0.0,0.0,0.0,0.0,False,9947.913999999997,0.12457886079181425,9998.946486359642
2025-02-19,2025-02-20,409.6400146484375,414.7699890136719,0.0,416.1300048828125,0.0,0.0,0.0,0.014425783842337676,6.0,0.006,False,9953.907999999998,0.11015307694947657,9999.596190516155
2025-02-20,2025-02-21,414.7699890136719,416.1300048828125,0.0,408.2099914550781,0.0,0.0,0.0,0.0073093052064680695,2.9822395501669514,0.0029822395501669513,False,9956.887257310615,0.1028437717430085,9999.6836365482
2025-02-21,2025-02-24,416.1300048828125,408.2099914550781,7.0,404.0,0.0173180736364491,7.0,0.007,0.0,0.0,0.0,False,9949.880257310615,0.12016184537945761,9998.93152318619
2025-02-24,2025-02-25,408.2099914550781,404.0,4.0,397.8999938964844,0.010047753357192435,4.0,0.004,0.0,0.0,0.0,False,9945.876257310614,0.13020959873665006,9998.480935200221
2025-02-25,2025-02-26,404.0,397.8999938964844,6.0,399.7300109863281,0.015002630111391583,6.0,0.006,0.0,0.0,0.0,False,9939.870257310615,0.14521222884804164,9997.650202282945
2025-02-26,2025-02-27,397.8999938964844,399.7300109863281,0.0,392.5299987792969,0.0,0.0,0.0,0.0,0.0,0.0,False,9939.870257310615,0.14521222884804164,9997.91594314339
2025-02-27,2025-02-28,399.7300109863281,392.5299987792969,7.0,396.989990234375,0.0176238744583833,7.0,0.007,0.0,0.0,0.0,False,9932.863257310615,0.16283610330642495,9996.78131274271
2025-02-28,2025-03-03,392.5299987792969,396.989990234375,0.0,388.489990234375,0.0,0.0,0.0,0.0,0.0,0.0,False,9932.863257310615,0.16283610330642495,9997.507560372036
2025-03-03,2025-03-04,396.989990234375,388.489990234375,8.0,388.6099853515625,0.020575904635509516,8.0,0.008,0.0,0.0,0.0,False,9924.855257310615,0.18341200794193446,9996.108986484845
2025-03-04,2025-03-05,388.489990234375,388.6099853515625,0.0,401.0199890136719,0.0,0.0,0.0,0.0,0.0,0.0,False,9924.855257310615,0.18341200794193446,9996.130995030231
2025-03-05,2025-03-06,388.6099853515625,401.0199890136719,0.0,396.8900146484375,0.0,0.0,0.0,0.027729351571427887,11.0,0.011,False,9935.844257310615,0.15568265637050657,9998.276114457934
2025-03-06,2025-03-07,401.0199890136719,396.8900146484375,4.0,393.30999755859375,0.010165012393066983,4.0,0.004,0.0,0.0,0.0,False,9931.840257310614,0.16584766876357354,9997.663540995598
2025-03-07,2025-03-10,396.8900146484375,393.30999755859375,3.0,380.1600036621094,0.007887470330230453,3.0,0.003,0.0,0.0,0.0,False,9928.837257310613,0.173735139093804,9997.16902444344
2025-03-10,2025-03-11,393.30999755859375,380.1600036621094,13.0,380.45001220703125,0.03415298418049485,13.0,0.013000000000000001,0.0,0.0,0.0,False,9915.824257310613,0.20788812327429884,9994.85500701588
2025-03-11,2025-03-12,380.1600036621094,380.45001220703125,0.0,383.2699890136719,0.0,0.0,0.0,0.0,0.0,0.0,False,9915.824257310613,0.20788812327429884,9994.915296348017
2025-03-12,2025-03-13,380.45001220703125,383.2699890136719,0.0,378.7699890136719,0.0,0.0,0.0,0.0052828908263318035,2.0,0.002,False,9917.822257310612,0.20260523244796705,9995.474762525057
2025-03-13,2025-03-14,383.2699890136719,378.7699890136719,4.0,388.55999755859375,0.010289275850886742,4.0,0.004,0.0,0.0,0.0,False,9913.818257310611,0.21289450829885379,9994.45630788004
2025-03-14,2025-03-17,378.7699890136719,388.55999755859375,0.0,388.70001220703125,0.0,0.0,0.0,0.020591720477583546,8.0,0.008,False,9921.810257310612,0.19230278782127025,9996.531428076954
2025-03-17,2025-03-18,388.55999755859375,388.70001220703125,0.0,383.5199890136719,0.0,0.0,0.0,0.015652382333939778,6.000000000000001,0.006000000000000001,False,9927.804257310612,0.17665040548733046,9996.468272079914
2025-03-18,2025-03-19,388.70001220703125,383.5199890136719,5.0,387.82000732421875,0.012886135720165117,5.0,0.005,0.0,0.0,0.0,False,9922.799257310613,0.18953654120749558,9995.4903095122
2025-03-19,2025-03-20,383.5199890136719,387.82000732421875,0.0,386.8399963378906,0.0,0.0,0.0,0.0,0.0,0.0,False,9922.799257310613,0.18953654120749558,9996.305320109912
2025-03-20,2025-03-21,387.82000732421875,386.8399963378906,0.0,391.260009765625,0.0,0.0,0.0,0.0,0.0,0.0,False,9922.799257310613,0.18953654120749558,9996.119572217218
2025-03-21,2025-03-24,386.8399963378906,391.260009765625,0.0,393.0799865722656,0.0,0.0,0.0,0.007635852378415043,3.0,0.003,False,9925.796257310612,0.18190068882908053,9996.966722598252
2025-03-24,2025-03-25,391.260009765625,393.0799865722656,0.0,395.1600036621094,0.0,0.0,0.0,0.015191318567461547,6.0,0.006,False,9931.790257310613,0.16670937026161897,9997.32037433452
2025-03-25,2025-03-26,393.0799865722656,395.1600036621094,0.0,389.9700012207031,0.0,0.0,0.0,0.0,0.0,0.0,False,9931.790257310613,0.16670937026161897,9997.667132673701
