signal_time,fill_time,prev_close,signal_close,points_down_24h,fill_close_raw,buy_shares,buy_value_usd,buy_fee_usd,sell_shares,sell_value_usd,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2025-01-03,2025-01-06,157.50999450683594,162.22000122070312,0.0,163.0800018310547,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-06,2025-01-07,162.22000122070312,163.0800018310547,0.0,158.83999633789062,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-07,2025-01-08,163.0800018310547,158.83999633789062,4.0,161.02999877929688,0.02482767825751397,4.0,0.004,0.0,0.0,0.0,False,9995.996,0.02482767825751397,9999.939628323502
2025-01-08,2025-01-10,158.83999633789062,161.02999877929688,0.0,162.4600067138672,0.0,0.0,0.0,0.0,0.0,0.0,False,9995.996,0.02482767825751397,9999.994000999499
2025-01-10,2025-01-13,161.02999877929688,162.4600067138672,0.0,162.42999267578125,0.0,0.0,0.0,0.0,0.0,0.0,False,9995.996,0.02482767825751397,10000.029504776405
2025-01-13,2025-01-14,162.4600067138672,162.42999267578125,0.0,163.41000366210938,0.0,0.0,0.0,0.0,0.0,0.0,False,9995.996,0.02482767825751397,10000.028759597524
2025-01-14,2025-01-15,162.42999267578125,163.41000366210938,0.0,165.7100067138672,0.0,0.0,0.0,0.006037657411073758,1.0,0.001,False,9996.994999999999,0.018790020846440214,10000.065477375327
2025-01-15,2025-01-16,163.41000366210938,165.7100067138672,0.0,167.63999938964844,0.0,0.0,0.0,0.017904442622901407,3.0,0.003,False,9999.991999999998,0.000885578223538807,10000.138749173366
2025-01-16,2025-01-17,165.7100067138672,167.63999938964844,0.0,170.7899932861328,0.0,0.0,0.0,0.0,0.0,0.0,False,9999.991999999998,0.000885578223538807,10000.140458332851
2025-01-17,2025-01-21,167.63999938964844,170.7899932861328,0.0,173.52999877929688,0.0,0.0,0.0,0.0,0.0,0.0,False,9999.991999999998,0.000885578223538807,10000.143247898852
2025-01-21,2025-01-22,170.7899932861328,173.52999877929688,0.0,177.49000549316406,0.0,0.0,0.0,0.0,0.0,0.0,False,9999.991999999998,0.000885578223538807,10000.145674388048
2025-01-22,2025-01-23,173.52999877929688,177.49000549316406,0.0,174.94000244140625,0.0,0.0,0.0,0.0,0.0,0.0,False,9999.991999999998,0.000885578223538807,10000.14918128376
2025-01-23,2025-01-24,177.49000549316406,174.94000244140625,2.0,174.1199951171875,0.011480591292256488,2.0,0.002,0.0,0.0,0.0,False,9997.989999999998,0.012366169515795295,10000.153337725282
2025-01-24,2025-01-27,174.94000244140625,174.1199951171875,0.0,175.52000427246094,0.0,0.0,0.0,0.0,0.0,0.0,False,9997.989999999998,0.012366169515795295,10000.143197375706
2025-01-27,2025-01-28,174.1199951171875,175.52000427246094,0.0,188.02000427246094,0.0,0.0,0.0,0.0,0.0,0.0,False,9997.989999999998,0.012366169515795295,10000.160510126245
2025-01-28,2025-01-29,175.52000427246094,188.02000427246094,0.0,182.8800048828125,0.0,0.0,0.0,0.010941603493133894,1.9999999999999998,0.0019999999999999996,False,9999.987999999998,0.001424566022661401,10000.255846909664
2025-01-29,2025-01-30,188.02000427246094,182.8800048828125,5.0,179.2899932861328,0.027873843697454388,5.0,0.005,0.0,0.0,0.0,False,9994.982999999998,0.02929840972011579,10000.341093312672
