signal_time,fill_time,signal_close,weekly_high,points_lost,fill_price,buy_trade_shares,buy_trade_value,buy_fee_usd,sell_shares,sell_value,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2024-01-03,2024-01-04,47.569000244140625,48.167999267578125,0.5989990234375,47.99800109863281,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-04,2024-01-05,47.99800109863281,48.167999267578125,0.1699981689453125,49.09700012207031,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-05,2024-01-08,49.09700012207031,49.09700012207031,0.0,52.25299835205078,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-08,2024-01-09,52.25299835205078,52.25299835205078,0.0,53.13999938964844,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-09,2024-01-10,53.13999938964844,53.13999938964844,0.0,54.349998474121094,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-10,2024-01-11,54.349998474121094,54.349998474121094,0.0,54.821998596191406,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-11,2024-01-12,54.821998596191406,54.821998596191406,0.0,54.709999084472656,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-12,2024-01-16,54.709999084472656,54.821998596191406,0.11199951171875,56.38199996948242,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-16,2024-01-17,56.38199996948242,56.38199996948242,0.0,56.053001403808594,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-17,2024-01-18,56.053001403808594,56.38199996948242,0.3289985656738281,57.106998443603516,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-18,2024-01-19,57.106998443603516,57.106998443603516,0.0,59.49100112915039,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-19,2024-01-22,59.49100112915039,59.49100112915039,0.0,59.65399932861328,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-22,2024-01-23,59.65399932861328,59.65399932861328,0.0,59.87300109863281,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
